ID,Common_name,Latitude,Longitude
28,Cheetah,-2.33333,34.58333
29,Cheetah,-10.91417,23.99833
30,Impala / Black-faced impala,-1.5,35
31,Impala / Black-faced impala,2,33
32,Impala / Black-faced impala,-3.5,35.75
33,Red hartebeest,-29,26
34,Hartebeest / Swayne's hartebeest,9,-3.5
35,Hartebeest / Swayne's hartebeest,-1.5,35
36,Hartebeest / Swayne's hartebeest,9.75,10.5
37,Hartebeest / Swayne's hartebeest,9.08333,40
38,Hartebeest / Swayne's hartebeest,7.2,38.6
39,Hartebeest / Swayne's hartebeest,2,33
40,Springbok,-29,26
41,Black-backed jackal,-2.33333,34.83333
42,Ethiopian wolf,7,39.75
43,Ethiopian wolf,7,39.75
44,Maxwell's duiker,9,-4
45,Red-flanked duiker,9,-4
46,Southern white rhinoceros / Northern white rhinoceros,4.15972,25.49889
47,Southern white rhinoceros / Northern white rhinoceros,4.15972,25.49889
48,Southern white rhinoceros / Northern white rhinoceros,4.15972,25.49889
49,Southern white rhinoceros / Northern white rhinoceros,2,33
50,Grey-cheeked mangabey,0.56667,30.36667
51,Tana river mangabey,-1.89972,40.11833
52,Blue monkey,0.56667,30.36667
53,Guereza / Magistrate colobus / Eastern black-and-white colobus,0.56667,30.36667
54,Black wildebeest / White-tailed gnu,-30,26
55,White-bearded wildebeest / Blue wildebeest,-3.5,35.75
56,White-bearded wildebeest / Blue wildebeest,-1.5,35
57,White-bearded wildebeest / Blue wildebeest,-3.18333,35.53333
58,White-bearded wildebeest / Blue wildebeest,-3.18333,35.53333
59,White-bearded wildebeest / Blue wildebeest,-3.16667,35.58333
60,White-bearded wildebeest / Blue wildebeest,-2.33333,34.83333
61,Bontebok / Blesbok,-34.05,20.45
62,Bontebok / Blesbok,-29,26
63,Hirola / Hunter's antelope / Hunter's hartebeest,1,41
64,Hirola / Hunter's antelope / Hunter's hartebeest,1,41
65,Hirola / Hunter's antelope / Hunter's hartebeest,0.51,38.05
66,Hirola / Hunter's antelope / Hunter's hartebeest,1,38
67,Topi / Korrigum / Tiang,-7.5,32
68,Topi / Korrigum / Tiang,-8,32.16667
69,Topi / Korrigum / Tiang,11.33333,14.66667
70,Topi / Korrigum / Tiang,7,21
71,Topi / Korrigum / Tiang,-1.5,35
72,Topi / Tsessebe antelope,2,33
73,Bontebok / Blesbok,-30,26
74,Black rhinoceros,1,38
75,Black rhinoceros,2,33
76,Black rhinoceros,-15.62583,30.42111
77,Straw-coloured fruit bat,0.33333,32.58333
78,Burchell's zebra / Plains zebra / Common zebra,-1.5,35
79,Burchell's zebra / Plains zebra / Common zebra,2,33
80,Burchell's zebra / Plains zebra / Common zebra,-3.5,35.75
81,Grevy's zebra,1,38
82,Cape mountain zebra,-22,17
83,Cape mountain zebra,-30,26
84,Grant's gazelle,2,33
85,Giraffe,-1.5,35
86,Giraffe,3.88278,33.87444
87,Giraffe,-3.5,35.75
88,Giraffe,16,8
89,Giraffe,-13,31.5
90,Giraffe,2.14611,31.81111
91,Giraffe,-2.33333,34.83333
92,Giraffe,2,33
93,Mountain gorilla / Eastern lowland gorilla,-1.16667,29.58333
94,Mountain gorilla / Eastern lowland gorilla,-1.03306,29.69972
95,Mountain gorilla / Eastern lowland gorilla,-1.3925,29.59528
96,Mountain gorilla / Eastern lowland gorilla,-2.301579,28.696392
97,Roan antelope,8,19.5
98,Roan antelope,9,21.5
99,Roan antelope,9,-4
100,Roan antelope,-1.63694,30.70917
101,Roan antelope,2,33
102,Roan antelope,-23.83333,31.5
103,Sable antelope,-9,37.5
104,Sable antelope,-23.83333,31.5
105,Waterbuck,9,-4
106,Waterbuck,2,33
107,Kob,2,33
108,Kob,9,-4
109,African elephant,0.39306,25.03611
110,African elephant,4.15972,29.49889
111,African elephant,-23.83333,31.5
112,African elephant,-23.83333,31.5
113,African elephant,-3.5,35.75
114,African elephant,-1.5,35
115,African elephant,2,33
116,African elephant,2,33
117,African wild dog,-3.16667,35.58333
118,African wild dog,-19,29
119,African wild dog,-23.83333,31.5
120,African rat / Natal multimammate mouse,-6.85,37.63333
121,Oryx,2,33
122,Oribi,9,-4
123,African lion / Asiatic lion,-0.25,30.18639
124,African lion / Asiatic lion,-0.25,30.18639
125,African lion / Asiatic lion,-0.25,30.18639
126,African lion / Asiatic lion,-0.25,30.18639
127,African lion / Asiatic lion,-3.16667,35.58333
128,African lion / Asiatic lion,-3.16667,35.58333
129,Baboon,-3.5,35.75
130,Common warthog / Desert warthog,7.16667,39.71667
131,Common warthog / Desert warthog,9,-4
132,Eastern red colobus / Tana River red colobus,-1.91667,40.11667
133,Ugandan red colobus,0.56667,30.36667
134,Livingstone's flying fox,-11.68333,43.26667
135,Rodrigues flying fox,-19.7,63.41667
136,Pemba flying fox,-5.16667,39.8
137,Mountain reedbuck / Western mountain reedbuck,-29,26
138,Bohar reedbuck / Bohor reedbuck,7.16667,39.71667
139,Common duiker / Grey duiker,7.16667,39.71667
140,Common duiker / Grey duiker,9,-4
